"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Bayern Munich";20;16;3;1;62;19;51;58.04;52.73;13.62;12.1;40.63;8.32;20.74;277;64;50.27
2;"Bayer Leverkusen";20;13;6;1;49;27;45;41.87;37.91;23.77;21.5;16.41;13.45;18.03;176;92;38.63
3;"Eintracht Frankfurt";20;11;5;4;45;27;38;43.16;40.89;33.31;31.03;9.86;13.59;13.48;154;155;34.52
4;"RasenBallsport Leipzig";20;9;6;5;34;29;33;29.8;28.28;38.9;37.38;-9.1;11.99;13.6;141;145;23.61
5;"VfB Stuttgart";20;9;5;6;37;30;32;41.01;36.95;32.06;30.46;6.49;10.76;14.26;181;113;34.65
6;"Mainz 05";20;9;4;7;33;24;31;31.64;29.36;30.72;27.69;1.67;10.52;11.91;150;132;29.24
7;"Borussia M.Gladbach";20;9;3;8;32;30;30;33.73;31.35;38.74;34.02;-2.68;13.94;12.68;126;164;26.83
8;"Werder Bremen";20;8;6;6;34;36;30;31.84;30.33;32.79;32.79;-2.46;12.91;12.67;162;150;27.15
9;"Freiburg";20;9;3;8;27;36;30;32.15;29.74;28.81;26.54;3.2;15.63;12.43;132;144;28.74
10;"Wolfsburg";20;8;5;7;43;35;29;33.44;31.04;36.24;34.59;-3.55;14.57;11.14;130;126;26.11
11;"Borussia Dortmund";20;8;5;7;36;34;29;34;30.97;29.15;26.88;4.09;10.31;16.16;128;122;29.83
12;"Augsburg";20;7;5;8;24;35;26;23.05;21.53;28.83;26.55;-5.02;14.31;10.05;111;163;24.97
13;"St. Pauli";20;6;3;11;18;22;21;25.76;24.15;29.84;28.26;-4.11;16.39;11.93;98;139;26.16
14;"Union Berlin";20;5;6;9;16;27;21;25.56;24.04;27.74;24.58;-0.54;14.17;11.72;124;132;26.32
15;"Hoffenheim";20;4;6;10;26;40;18;29.54;28.02;37.77;33.84;-5.82;11.9;10.9;125;157;22.45
16;"FC Heidenheim";20;4;2;14;25;42;14;26.26;23.99;39.51;36.48;-12.49;15.02;9.66;120;177;19.89
17;"Holstein Kiel";20;3;3;14;31;52;12;25.36;23.03;41.97;38.93;-15.91;14.28;11.62;95;158;19.06
18;"Bochum";20;2;4;14;17;44;10;25.26;23.75;47.7;44.42;-20.68;12.06;10.63;107;204;15.77
